Entry Date,Symbol,MarketCap,Sector,Target Month,Month Open,Month High,Month Low,Month Close,%High,%Low,%Close
02-05-2018,HDFCBANK,Largecap,Bank,Jun-2018,496.86,506.48,471.75,495.08,1.94,-5.05,-0.36
02-05-2018,PIDILITIND,Largecap,Chemicals,Jun-2018,554.3,555.29,490.1,511.43,0.18,-11.58,-7.73
02-05-2018,HINDUNILVR,Largecap,FMCG,Jun-2018,1420.73,1470.19,1362.64,1456.43,3.48,-4.09,2.51
02-05-2018,MPHASIS,Largecap,I.T,Jun-2018,900.68,948.39,817.01,890.25,5.3,-9.29,-1.16
01-06-2018,BAJFINANCE,Largecap,Financials,Jul-2018,224.0,272.88,222.16,263.21,21.82,-0.82,17.5
02-07-2018,MPHASIS,Largecap,I.T,Aug-2018,972.08,1068.22,952.44,1052.52,9.89,-2.02,8.28
02-07-2018,GODREJCP,Largecap,FMCG,Aug-2018,832.21,920.15,801.18,910.22,10.57,-3.73,9.37
01-08-2018,JSWSTEEL,Largecap,Metals & Mining,Sep-2018,368.28,394.33,345.13,352.0,7.07,-6.29,-4.42
01-08-2018,NESTLEIND,Largecap,FMCG,Sep-2018,529.45,529.45,417.03,439.68,0.0,-21.23,-16.95
01-08-2018,COFORGE,Largecap,I.T,Sep-2018,257.58,259.44,196.47,202.01,0.72,-23.73,-21.58
01-08-2018,PAGEIND,Largecap,Consumer Discretionary,Sep-2018,31891.97,32339.74,27024.94,30170.99,1.4,-15.26,-5.4
01-08-2018,JUBLFOOD,Largecap,Consumer Discretionary,Sep-2018,305.35,305.6,222.53,241.66,0.08,-27.12,-20.86
01-03-2019,ICICIGI,Largecap,Financials,Apr-2019,1000.37,1064.94,951.97,1046.65,6.45,-4.84,4.63
01-08-2019,ICICIGI,Largecap,Financials,Sep-2019,1200.32,1233.49,1057.24,1161.76,2.76,-11.92,-3.21
01-11-2019,ADANIGREEN,Largecap,Power & Utilities,Dec-2019,138.0,166.45,118.55,166.45,20.62,-14.09,20.62
01-02-2020,PATANJALI,Largecap,FMCG,Mar-2020,21.25,56.16,21.25,56.16,164.29,0.0,164.29
01-04-2020,NESTLEIND,Largecap,FMCG,May-2020,814.01,837.35,752.71,819.63,2.87,-7.53,0.69
01-06-2020,ADANIGREEN,Largecap,Power & Utilities,Jul-2020,340.95,424.85,305.6,340.65,24.61,-10.37,-0.09
03-08-2020,DIVISLAB,Largecap,Healthcare,Sep-2020,3020.7,3287.46,2895.56,2956.62,8.83,-4.14,-2.12
01-09-2020,LAURUSLABS,Largecap,Healthcare,Oct-2020,286.22,338.07,263.08,313.07,18.12,-8.08,9.38
01-09-2020,DIXON,Largecap,Consumer Discretionary,Oct-2020,1801.27,1995.65,1671.36,1855.82,10.79,-7.21,3.03
02-11-2020,DIVISLAB,Largecap,Healthcare,Dec-2020,3657.04,3743.37,3437.62,3726.79,2.36,-6.0,1.91
01-12-2020,ASIANPAINT,Largecap,Building Materials,Jan-2021,2640.84,2750.38,2297.21,2304.25,4.15,-13.01,-12.75
01-12-2020,APLAPOLLO,Largecap,Industrials,Jan-2021,436.37,487.22,415.02,447.15,11.65,-4.89,2.47
01-01-2021,TATAELXSI,Largecap,I.T,Feb-2021,2588.19,2911.03,2488.22,2536.75,12.47,-3.86,-1.99
